 ,name,price,in_stock
1,berserk_1,3600,6
2,berserk_2,3600,13
3,berserk_3,3600,0
4,berserk_4,3600,0
5,bleach_1,3600,0
6,bleach_2,3600,2
7,chainsaw_1,3600,5
8,chainsaw_2,3600,3
9,dragon_ball_1,3600,2
10,hxh_1,3600,0
11,jjk_2,3600,4
12,jjk_3,3600,3
13,jjk_4,3600,0
14,jjk_5,3600,16
15,jjk_6,3600,0
16,naruto_1,3600,12
17,naruto_2,3600,2
18,onepiece_1,3600,0
19,sailormoon_1,3600,2
20,vinland_1,3600,0
21,jojo_2,3600,2
22,aot_1,3600,11
23,aot_2,3600,14
24,aot_3,3600,0
25,aot_4,3600,7
26,bebop_1,3600,2
27,bebop_2,3600,4
28,berserk_5,3600,0
29,ds_1,3600,0
30,ds_2,3600,0
31,eva_1,3600,2
32,jjk_7,3600,4
33,jojo_3,3600,3
34,jojo_4,3600,8
35,naruto_3,3600,0
36,naruto_4,3600,0
37,onepiece_2,3600,0
38,naruto_5,3600,2
39,naruto_6,3600,3
40,drstone_1,3600,2
41,blackclover_1,3600,3
42,blackclover_2,3600,2
43,tokyoghoul_1,3600,2
44,bleach_3,3600,5
45,opm_1,3600,5
46,onepiece_4,3600,5
47,fma_1,3600,5
48,deathnote_1,3600,5
49,deathnote_2,3600,5
50,vagabond_1,3600,5
51,mha_1,3600,5
52,bebop_3,3600,5
53,hxh_2,3600,5
54,naruto_7,3600,5
55,bluelock_1,3600,5
